Jaar,Toets,Resultaat,Pogingen
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,voldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,1,onvoldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,voldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,2,onvoldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,voldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
